acara_sml_id,school_name,school_sector,school_type,school_url,year_range,icsea,icsea_percentile,bottom_sea_quarter,lower_middle_sea_quarter,upper_middle_sea_quarter,top_sea_quarter,teaching_staff,full_time_equivalent_teaching_staff,non_teaching_staff,full_time_equivalent_non_teaching_staff,total_enrolments,girls_enrolments,boys_enrolments,full_time_equivalent_enrolments,indigenous_enrolments,language_background_other_than_english_yes,language_background_other_than_english_no,language_background_other_than_english_not_stated,latitude,longitude,lga_code
48123,Busselton Senior High School,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4009,7-12,955.0,25.0,49.0,32.0,14.0,5.0,60.0,51.4,38.0,23.9,672.0,325.0,347.0,672.0,11.0,4.0,31.0,65.0,-33.656981,115.325541,51260
48124,Carnarvon Community College,Government,Combined,https://carnarvoncc.wa.edu.au/,K-12,780.0,2.0,75.0,18.0,7.0,1.0,39.0,37.4,38.0,33.5,394.0,183.0,211.0,381.8,71.0,22.0,73.0,6.0,-24.866728,113.677542,51540
48125,Churchlands Senior High School,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4012,7-12,1120.0,90.0,5.0,14.0,30.0,52.0,196.0,174.2,68.0,56.8,2726.0,1381.0,1345.0,2726.0,1.0,31.0,69.0,0.0,-31.91711398,115.7892596,57910
48126,Collie Senior High School,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4014,7-12,928.0,16.0,58.0,31.0,9.0,2.0,45.0,42.0,34.0,25.1,507.0,235.0,272.0,507.0,14.0,2.0,93.0,5.0,-33.36293067,116.1569321,51890
48127,Eastern Hills Senior High School,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4017,7-12,1018.0,55.0,24.0,38.0,25.0,13.0,71.0,66.0,36.0,28.8,954.0,478.0,476.0,954.0,4.0,6.0,32.0,62.0,-31.87515,116.21982,56090
48128,Esperance Senior High School,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4018,7-12,967.0,30.0,36.0,35.0,20.0,9.0,69.0,65.2,46.0,38.0,884.0,439.0,445.0,881.6,14.0,6.0,42.0,52.0,-33.86039,121.870968,53290
48129,Governor Stirling Senior High School,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4020,7-12,978.0,36.0,38.0,32.0,21.0,9.0,78.0,72.4,34.0,30.2,913.0,403.0,510.0,913.0,13.0,19.0,14.0,68.0,-31.890277,115.990297,58050
48131,Hampton Senior High School,Government,Secondary,http://hampton.wa.edu.au,7-12,988.0,40.0,38.0,33.0,21.0,7.0,67.0,61.8,35.0,25.4,848.0,448.0,400.0,848.0,4.0,33.0,40.0,27.0,-31.8901676,115.9259254,50420
48132,Harvey Senior High School,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4023,7-12,943.0,21.0,55.0,29.0,13.0,3.0,21.0,18.9,23.0,14.0,211.0,98.0,113.0,211.0,8.0,17.0,78.0,6.0,-33.08363148,115.9065456,53990
48133,John Curtin College Of The Arts,Government,Secondary,http://www.jc.wa.edu.au,7-12,1125.0,91.0,4.0,14.0,31.0,51.0,146.0,124.3,60.0,46.7,1806.0,1073.0,733.0,1806.0,1.0,20.0,2.0,78.0,-32.04943,115.75751,53430
48134,John Forrest Secondary College,Government,Secondary,http://www.det.wa.edu.au/schoolsonline/overview.do?schoolID=4026,7-12,1027.0,60.0,24.0,31.0,26.0,19.0,87.0,80.8,39.0,29.4,1095.0,504.0,591.0,1095.0,4.0,26.0,2.0,72.0,-31.904638,115.900069,50420
