amenity,denomination,name,religion,id,lon,lat
place_of_worship,Christ Scientist,"First Church Of Christ, Scientist",Christian,190577890,144.9706521,-37.83037915
place_of_worship,Unknown,Church,Christian,191060888,118.68516495454547,-26.128420263636368
place_of_worship,Anglican,St Mark'S Anglican Church,Christian,191185962,152.03457093333333,-28.21613923333333
place_of_worship,Unknown,Clovercrest Baptist Church,Christian,192837126,138.68136738181818,-34.81855133636363
place_of_worship,Unknown,Assemblies Of God,Christian,192837127,138.67856313888893,-34.818582977777766
place_of_worship,Catholic,St Finbarr'S Catholic Church,Christian,192854399,144.26954826000002,-26.61617288
place_of_worship,Unknown,St Mathews,Christian,192854406,144.26873924,-26.615671159999998
place_of_worship,Uniting,Glen Iris Road Uniting Church,Christian,193423386,145.06553787812499,-37.86072171875
place_of_worship,Baptist,Woodvale Baptist,Christian,193647854,115.80313778571428,-31.7894373
place_of_worship,Unknown,The White House Community Church,Christian,194066237,115.94093751333331,-32.03077416666667
place_of_worship,Presbyterian,Geelong West Presbyterian Church,Christian,194640554,144.3483171625,-38.138240825
place_of_worship,Catholic,Immaculate Conception Church,Christian,195846525,145.03509445333336,-37.82210236666666
place_of_worship,Unknown,Church,Christian,196264478,121.77949266,-18.6843765
place_of_worship,Unknown,Chapel,Christian,196468543,122.66650130000001,-16.98101568
place_of_worship,Catholic,Saint Patricks,Christian,196810000,151.10763454,-33.846391839999995
place_of_worship,Seventh Day Adventist,Seventh-Day Adventist Church,Christian,196816944,149.09796260000002,-35.355953119999995
place_of_worship,Unknown,Vishu Shiva Mandir,Hindu,196821330,149.09824134444446,-35.36185051111111
place_of_worship,Unknown,New Apostolic Church,Christian,196821738,149.09781152,-35.35444244
place_of_worship,Anglican,St. Gabriel'S,Christian,197472402,153.1080658,-27.50213898
place_of_worship,Unknown,St George'S,Christian,198590856,149.0882516727273,-35.36487561818182
place_of_worship,Unknown,Reformed Church Of Canberra,Christian,199127765,149.03749348000002,-35.34743772
place_of_worship,Anglican,St Luke'S Anglican Church,Christian,199132077,144.96111746923077,-37.83250854615385
place_of_worship,Unknown,St Johns Uniting Church,Christian,199466145,146.55081517222226,-34.74387815000001
place_of_worship,Anglican,Saint Phillip'S,Christian,200240098,153.03686206153847,-27.501663753846156
place_of_worship,Presbyterian,Saint John'S,Christian,200240996,153.03665670000004,-27.502850059999997
place_of_worship,Church Of Christ,Warnbro Community Church,Christian,200272148,115.75907211818183,-32.34234999090909
place_of_worship,Catholic,St Judes Church,Christian,200700056,149.05075923333334,-35.33494822222222
place_of_worship,Anglican,St Peters,Christian,201216123,149.05380534,-35.342706719999995
place_of_worship,Unknown,Australia Buddhist Bliss Culture Mission,Buddhist,201296660,115.89940804166669,-32.0575342
place_of_worship,Baptist,Willetton Christian Church,Christian,201296661,115.89810006799999,-32.058405551999996
place_of_worship,Jehovahs Witness,Kingdom Hall Of Jehovah'S Witnesses,Christian,201296662,115.89720587142857,-32.05914565714286
place_of_worship,Pentecostal,Kingdomcity (Canning Vale Campus),Christian,202133051,115.90768579411764,-32.0820126
place_of_worship,Anglican,Saint David'S Anglican Church,Christian,202661530,115.83697746666667,-32.02086847777778
place_of_worship,Anglican,St Lukes Anglican Church,Christian,203087795,149.09974772222222,-35.31523655555556
place_of_worship,Protestant,Livingston Seventh-Day Adventist Church,Christian,203341403,115.91931501428573,-32.086988
place_of_worship,Greek Orthodox,Church Of The Holy Annunciation,Christian,203540674,144.97812791818183,-37.80880591818182
place_of_worship,Pentecostal,Toowoomba City Church,Christian,203889352,151.95639073636363,-27.557826963636366
place_of_worship,Christian,Crossway Baptist Church,Christian,204158659,145.1676631883334,-37.85925320166666
place_of_worship,Anglican,St Paul'S Anglican Church Chatswood,Christian,205144466,151.17717460666668,-33.795412760000005
place_of_worship,Uniting,Uniting Church Of St. James,Christian,205297211,149.0836351833333,-35.32451389166667
place_of_worship,Unknown,Lyons Church Of Christ,Christian,205378316,149.08216075238093,-35.33930776190476
place_of_worship,Anglican,St Mary In The Valley,Christian,205762502,149.1146066222222,-35.43589720555556
place_of_worship,Anglican,Christ Church,Christian,205883367,150.85755582000004,-34.67329269
place_of_worship,Unknown,Lao Buddhist Community Centre,Buddhist,206090223,149.06849575555555,-35.39562958888889
place_of_worship,Anglican,St Stephens Anglican Church,Christian,206099264,149.05998238333333,-35.379098258333336
place_of_worship,Anglican,Anglican Church Of The Good Shepherd,Christian,206221368,149.08395351000001,-35.324779649999996
place_of_worship,Baptist,Willetton Bible Baptist Church,Christian,206611020,115.89372768000001,-32.0399493
place_of_worship,Catholic,Our Lady Of Dolours,Christian,206804334,151.18415244,-33.79414096000001
place_of_worship,Roman Catholic,Saint Brigids Church,Christian,206916671,145.08431234545458,-38.00421768636364
place_of_worship,Unknown,St Mark'S Anglican Church,Christian,207535961,147.37131946428573,-42.87533917142857
place_of_worship,Unknown,Corpus Christi Catholic Church,Christian,207836314,147.37079277647058,-42.871095123529415
place_of_worship,Unknown,St Johns,Christian,207851495,147.71666036000002,-42.6084545
place_of_worship,Unknown,Outdoor Chapel,Christian,209288396,149.13814044615384,-35.30554780769231
