lga_name,lga_code,afghanistan,australia,bangladesh,bosnia_and_herzegovina,cambodia,canada,chile,china,croatia,egypt,england,fiji,france,germany,greece,hong_kong,india,indonesia,iran,iraq,ireland,italy,japan,south_korea,lebanon,malaysia,malta,mauritius,myanmar,nepal,netherlands,new_zealand,northern_ireland,pakistan,papua_new_guinea,philippines,poland,scotland,singapore,south_africa,south_eastern_europe,sri_lanka,taiwan,thailand,north_macedonia,turkey,united_states_of_america,vietnam,wales,zimbabwe
Halls Creek,53920,0.0,77.58371824480369,0.0,0.0,0.0,0.0,0.0,0.11547344110854503,0.0,0.0,0.5629330254041571,0.0,0.08660508083140878,0.27424942263279445,0.0,0.0,0.4907621247113164,0.0,0.0,0.0,0.0,0.0,0.08660508083140878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9526558891454965,0.0,0.1587759815242494,0.14434180138568128,5.643764434180139,0.2165127020785219,2.107390300230947,0.41859122401847576,5.86027713625866,0.04330254041570439,0.2453810623556582,1.2990762124711317,0.3175519630484988,0.0,0.0,0.7650115473441108,0.11547344110854503,0.5773672055427251,1.9341801385681294
Harvey,53990,0.0,84.35754189944134,0.0,0.0,0.013093575418994413,0.08074371508379888,0.0,0.26405377094972066,0.006546787709497207,0.006546787709497207,6.97669343575419,0.026187150837988827,0.054556564245810055,0.3993540502793296,0.0,0.015275837988826816,0.35134427374301674,0.12438896648044692,0.04146298882681564,0.013093575418994413,0.41244762569832405,0.7681564245810055,0.048009776536312845,0.13530027932960895,0.0,0.15057611731843576,0.0,0.017458100558659217,0.026187150837988827,0.0,0.34697974860335196,3.450157122905028,0.15275837988826815,0.006546787709497207,0.017458100558659217,0.42990572625698326,0.015275837988826816,0.21604399441340782,0.045827513966480445,0.42990572625698326,0.0,0.015275837988826816,0.09165502793296089,0.030551675977653632,0.0,0.0,0.04146298882681564,0.021822625698324022,0.08292597765363129,0.31642807262569833
Irwin,54060,0.0,77.29669719678046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.481543158479045,0.0,0.0,0.38856508465167916,0.0,0.0,0.041631973355537054,0.0,0.0,0.0,0.37468776019983346,0.12489592006661115,0.0,0.0,0.0,0.0,0.0,0.041631973355537054,0.08326394671107411,0.0,2.470163752428532,5.453788509575354,0.18040521787399388,0.041631973355537054,0.15265056897030252,0.9852900360810437,0.31917846239245073,1.7901748542880933,0.263669164585068,1.942825423258396,0.0,0.18040521787399388,0.13877324451845685,0.5134610047182903,0.0,0.0,1.6097696364140994,0.0,0.041631973355537054,0.08326394671107411
Goomalling,53710,0.0,11.925593706345122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5587824424674657,0.0,0.0,0.022057201676347327,0.0,0.0,0.0,0.0,0.0,0.0,0.022057201676347327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17645761341077862,0.7720020586721564,0.044114403352694655,0.0,1.2425556944342326,21.638114844496727,1.4190133078450113,7.536210572752003,12.535842952724064,13.00639658848614,0.5367252407911183,8.837585471656496,2.948312624071759,4.793765164326152,0.08822880670538931,1.014631277111977,2.2130725681935153,3.705609881626351,1.4851849128740535,3.477685464304095
Gosnells,53780,2.585371545692992,61.32393751680543,0.3957201345448458,0.07204135782739499,0.21916807451714532,0.10654003622361233,0.12734070996250807,3.31846846161261,0.10451070220030541,0.18517672962675474,7.5724599079697015,0.09537869909542436,0.08929069702550366,0.3683241252302026,0.02181534075054919,0.3480307849971336,6.001755373930161,1.542293857713245,0.31201010608343605,0.44188748357507773,0.4550781547265726,0.5692281935375858,0.11415003881101318,0.47486416145381494,0.1527073852538443,3.7070859270758816,0.042108680983618196,0.3109954390717826,1.1759990665063493,0.1400240476081762,0.34092811591555944,3.2119284253889977,0.11922337386928045,0.7163549102273361,0.04971868357101908,0.7239649128147371,0.04312334799527165,0.27142342561729804,0.40535947115555354,0.44239481708090445,0.012176004139841408,0.34752345149130687,0.08117336093227605,0.13698004657321583,0.004566001552440528,0.038557346442831125,0.07914402690896916,0.2592474214774566,0.10197403467117178,0.24047608176186783
Joondalup,54170,0.10673777726665037,64.33808202636459,0.034860486177996926,0.06217385679168524,0.023360119603812374,0.322729036988054,0.05139226312838722,0.6605523051047252,0.1351293072466685,0.18472463809783937,16.455946408291762,0.03629803199977,0.13692623952388483,0.656239667639406,0.09775311588056869,0.18831850265227204,0.9279358279545161,0.24653910843408133,0.2422264709687621,0.024078892514698906,1.6589278783261214,0.5678305996003622,0.1714273392464385,0.09703434296968215,0.04132944237597574,0.6637867832037146,0.039532510098759396,0.1063783908112071,0.12794157813780313,0.014734844673173958,0.34932363469085576,2.470422494717019,0.22677285338470163,0.05642367350459296,0.06433017552434483,0.3266822879979299,0.3097911245920964,1.7645874962264423,0.3809496427698633,2.9944079467533027,0.054986127682819894,0.08769029512815721,0.06864281298966404,0.1656771559593462,0.07079913172232365,0.019406868593936432,0.34321406494832024,0.24761726780041113,0.6335983209464802,0.9437488319940198
Kalamunda,54200,0.9034037923531241,72.39275722723035,0.2593643145788001,0.022342244327012744,0.017485234690705627,0.17096673919801056,0.06605533105377681,0.5624417158843643,0.07868355610817532,0.037884675163195526,10.100637239664284,0.05148430214485546,0.1107398197078023,0.5906123717749456,0.023313646254274168,0.13211066210755362,1.9894311470313957,0.3341622629779298,0.04177028287224122,0.009714019272614238,0.7761501398818775,0.8286058439539943,0.09908299658066523,0.06994093876282251,0.05439850792663972,0.7236944358097607,0.04468448865402549,0.17290954305253342,0.21370842399751322,0.026227852036058437,0.4138172210133665,3.2804243083618276,0.1806807584706248,0.06896953683556108,0.07479794839912962,1.0170578178427105,0.12433944668946223,0.8528908921355299,0.37204693814112527,0.9267174386073982,0.05536990985390115,0.16999533727074914,0.05925551756294685,0.17290954305253342,0.0,0.025256450108797016,0.2535359030152316,0.11171122163506372,0.2914205781784271,0.6440394777743239
Kent,54480,0.0,42.06195546950629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9196515004840271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43562439496611816,0.14520813165537272,0.48402710551790895,3.4849951597289452,16.84414327202323,1.2584704743465636,0.14520813165537272,0.43562439496611816,4.791868344627299,2.516940948693127,6.873184898354308,2.420135527589545,6.9215876089060995,1.5488867376573088,0.29041626331074544,0.5808325266214909,2.032913843175218,0.29041626331074544,0.0,5.3727008712487905,0.0,0.0,0.14520813165537272
Katanning,54340,2.3477691516228605,50.89327471705173,0.0,0.0,0.0,0.0,0.0,0.37414647834627257,0.0,0.056121971751940884,2.1139276026564398,0.0,0.0,0.11224394350388177,0.0,0.0,0.3180245065943317,0.1964269011317931,0.0,0.0,0.0,0.2712561968010476,0.0,0.056121971751940884,0.0,0.3367318305116453,0.0,0.0,2.216817884201665,0.0,0.1309512674211954,2.7593302778037603,0.0,0.03741464783462726,0.35543915442895896,16.799176877747637,0.5238050696847816,3.6385745019175006,1.964269011317931,5.4905995697315495,0.21513422504910673,1.2346833785426994,0.9821345056589655,1.459171265550463,0.09353661958656814,0.07482929566925452,1.0569638013282199,0.8511832382377701,0.7857076045271724,2.2542325320362924
Kellerberrin,54410,0.0,89.1588785046729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.485981308411215,0.0,0.0,0.1869158878504673,0.0,0.0,0.3738317757009346,0.0,0.0,0.0,0.0,0.2803738317757009,0.0,0.0,0.0,0.14018691588785046,0.0,0.0,0.0,0.14018691588785046,0.1869158878504673,2.4766355140186915,0.0,0.0,0.0,1.4485981308411215,0.0,0.14018691588785046,0.0,0.7009345794392523,0.0,0.0,0.0,0.0,0.0,0.0,0.14018691588785046,0.0,0.0,0.14018691588785046
